policy,period,regime,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason
baseline_strict,pre,BULL,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
baseline_strict,pre,BULL,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL_CLOSE
baseline_strict,pre,SIDEWAYS_FLAT,2013-07-18,006840,AK홀딩스,2013-07-26,2013-09-09,0.1347840909090909,MAX
baseline_strict,pre,SIDEWAYS_FLAT,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL
baseline_strict,pre,SIDEWAYS_FLAT,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL_CLOSE
baseline_strict,pre,BULL,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,TRAIL
baseline_strict,pre,BULL,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP
baseline_strict,pre,BULL,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL
baseline_strict,pre,BULL,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP
baseline_strict,pre,BULL,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL
baseline_strict,pre,SIDEWAYS_FLAT,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP
baseline_strict,pre,SIDEWAYS_FLAT,2017-02-23,008700,아남전자,2017-03-06,2017-04-04,1.1008251366120219,TRAIL
baseline_strict,pre,BULL,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL
baseline_strict,pre,BULL,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL
baseline_strict,pre,BULL,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP
baseline_strict,pre,BULL,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-17,-0.063,EARLY_FAIL_CLOSE
baseline_strict,pre,BULL,2019-04-11,043370,평화정공,2019-04-19,2019-04-26,-0.123,STOP
baseline_strict,pre,BULL,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP
baseline_strict,pre,BULL,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL
baseline_strict,pre,BULL,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP
baseline_strict,pre,BULL,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL
baseline_strict,pre,BULL,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX
baseline_strict,pre,BULL,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL_CLOSE
baseline_strict,train,BULL,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX
baseline_strict,train,BULL,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL
baseline_strict,train,BULL,2023-05-31,356860,티엘비,2023-06-09,2023-07-21,0.12958426966292136,TRAIL
baseline_strict,train,BULL,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX
baseline_strict,train,BULL,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX
baseline_strict,post,BULL,2025-09-17,089890,코세스,2025-09-25,2025-11-25,0.56575,TRAIL
up_only,pre,BULL,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
up_only,pre,BULL,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL_CLOSE
up_only,pre,BULL,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,TRAIL
up_only,pre,BULL,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP
up_only,pre,BULL,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL
up_only,pre,BULL,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP
up_only,pre,BULL,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL
up_only,pre,BULL,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL
up_only,pre,BULL,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL
up_only,pre,BULL,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP
up_only,pre,BULL,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-17,-0.063,EARLY_FAIL_CLOSE
up_only,pre,BULL,2019-04-11,043370,평화정공,2019-04-19,2019-04-26,-0.123,STOP
up_only,pre,BULL,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP
up_only,pre,BULL,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL
up_only,pre,BULL,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP
up_only,pre,BULL,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL
up_only,pre,BULL,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX
up_only,pre,BULL,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL_CLOSE
up_only,train,BULL,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX
up_only,train,BULL,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL
up_only,train,BULL,2023-05-31,356860,티엘비,2023-06-09,2023-07-21,0.12958426966292136,TRAIL
up_only,train,BULL,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX
up_only,train,BULL,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX
up_only,post,BULL,2025-09-17,089890,코세스,2025-09-25,2025-11-25,0.56575,TRAIL
up_and_flat,pre,BULL,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
up_and_flat,pre,BULL,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL_CLOSE
up_and_flat,pre,SIDEWAYS_FLAT,2013-07-18,006840,AK홀딩스,2013-07-26,2013-09-09,0.1347840909090909,MAX
